date,score
2025-07-28,5.02
2025-08-04,4.79
2025-08-11,2.74
2025-08-18,3.99
2025-08-25,2.68
2025-09-01,2.8
2025-09-08,2.68
2025-09-15,2.8
2025-09-22,2.8
2025-09-29,2.97
2025-10-06,3.94
2025-10-13,2.97
2025-10-20,2.85
2025-10-27,5.7
2025-11-03,3.42
2025-11-10,4.22
2025-11-17,4.05
2025-11-24,3.82
2025-12-01,3.14
2025-12-08,3.82
2025-12-15,3.88
2025-12-22,3.37
2025-12-29,2.45
2026-01-05,3.08
2026-01-12,3.65
2026-01-19,3.54
2026-01-26,4.45
2026-02-02,3.77
2026-02-09,3.77
2026-02-16,3.91
2026-02-23,4.25
2026-03-02,4.31
2026-03-09,4.38
2026-03-16,3.91
2026-03-23,6.74
2026-03-30,4.25
2026-04-06,4.18
2026-04-13,4.04
2026-04-20,4.18
2026-04-27,4.78
2026-05-04,4.31
2026-05-11,3.84
