date,score
2022-10-03,34.25
2022-10-10,30.22
2022-10-17,31.84
2022-10-24,31.03
2022-10-31,39.49
2022-11-07,34.66
2022-11-14,37.88
2022-11-21,32.24
2022-11-28,30.63
2022-12-05,40.3
2022-12-12,34.66
2022-12-19,27.4
2022-12-26,24.18
2023-01-02,7.66
2023-01-09,18.54
2023-01-16,16.92
2023-01-23,24.58
2023-01-30,35.86
2023-02-06,35.74
2023-02-13,35.74
2023-02-20,36.57
2023-02-27,34.08
2023-03-06,40.31
2023-03-13,29.92
2023-03-20,26.18
2023-03-27,29.92
2023-04-03,34.49
2023-04-10,33.25
2023-04-17,37.4
2023-04-24,41.56
2023-05-01,32.83
2023-05-08,36.99
2023-05-15,28.26
2023-05-22,30.75
2023-05-29,19.12
2023-06-05,16.21
2023-06-12,19.95
2023-06-19,19.95
2023-06-26,17.04
2023-07-03,22.44
2023-07-10,19.12
2023-07-17,17.45
2023-07-24,23.27
2023-07-31,19.12
2023-08-07,12.05
2023-08-14,14.6
2023-08-21,17.03
2023-08-28,20.44
2023-09-04,24.33
2023-09-11,23.84
2023-09-18,35.04
2023-09-25,35.04
2023-10-02,38.93
2023-10-09,33.58
2023-10-16,36.98
2023-10-23,39.9
2023-10-30,43.31
2023-11-06,43.31
2023-11-13,48.66
2023-11-20,39.9
2023-11-27,37.47
2023-12-04,46.23
2023-12-11,46.23
2023-12-18,39.9
2023-12-25,21.9
2024-01-01,10.71
2024-01-08,21.41
2024-01-15,21.9
2024-01-22,34.06
2024-01-29,42.33
2024-02-05,36.01
2024-02-12,38.92
2024-02-19,47.57
2024-02-26,41.32
2024-03-04,47.09
2024-03-11,42.28
2024-03-18,32.67
2024-03-25,42.76
2024-04-01,40.84
2024-04-08,39.88
2024-04-15,48.05
2024-04-22,47.09
2024-04-29,45.65
2024-05-06,46.61
2024-05-13,43.72
2024-05-20,32.19
2024-05-27,19.22
2024-06-03,21.14
2024-06-10,25.95
2024-06-17,21.14
2024-06-24,18.74
2024-07-01,19.7
2024-07-08,18.26
2024-07-15,18.26
2024-07-22,15.38
2024-07-29,24.5
2024-08-05,26.15
2024-08-12,16.21
2024-08-19,17.26
2024-08-26,23.53
2024-09-02,20.92
2024-09-09,29.81
2024-09-16,34.52
2024-09-23,35.04
2024-09-30,39.22
2024-10-07,33.47
2024-10-14,32.95
2024-10-21,38.7
2024-10-28,38.18
2024-11-04,46.55
2024-11-11,39.75
2024-11-18,52.3
2024-11-25,36.61
2024-12-02,44.98
2024-12-09,42.88
