date,score
2025-07-28,22.85
2025-08-04,29.98
2025-08-11,21.93
2025-08-18,19.69
2025-08-25,20.59
2025-09-01,20.14
2025-09-08,24.17
2025-09-15,25.51
2025-09-22,22.38
2025-09-29,24.62
2025-10-06,24.62
2025-10-13,22.83
2025-10-20,21.04
2025-10-27,25.06
2025-11-03,24.62
2025-11-10,26.41
2025-11-17,25.06
2025-11-24,27.3
2025-12-01,26.85
2025-12-08,37.6
2025-12-15,28.64
2025-12-22,25.51
2025-12-29,20.14
2026-01-05,20.59
2026-01-12,29.99
2026-01-19,44.76
2026-01-26,43.86
2026-02-02,44.76
2026-02-09,45.69
2026-02-16,37.92
2026-02-23,30.16
2026-03-02,33.81
2026-03-09,42.95
2026-03-16,34.27
2026-03-23,28.78
2026-03-30,25.59
2026-04-06,26.04
2026-04-13,24.22
2026-04-20,29.24
2026-04-27,29.7
2026-05-04,33.35
2026-05-11,25.13
