date,score
2025-07-28,6.2
2025-08-04,27.72
2025-08-11,6.65
2025-08-18,4.43
2025-08-25,4.99
2025-09-01,5.27
2025-09-08,10.81
2025-09-15,13.3
2025-09-22,12.47
2025-09-29,14.13
2025-10-06,11.09
2025-10-13,13.86
2025-10-20,9.7
2025-10-27,9.15
2025-11-03,14.41
2025-11-10,13.86
2025-11-17,12.75
2025-11-24,12.75
2025-12-01,16.91
2025-12-08,18.85
2025-12-15,18.57
2025-12-22,18.02
2025-12-29,8.59
2026-01-05,9.15
2026-01-12,9.98
2026-01-19,14.97
2026-01-26,18.57
2026-02-02,18.02
