date,score
2025-07-28,26.1
2025-08-04,45.8
2025-08-11,26.47
2025-08-18,37.88
2025-08-25,17.64
2025-09-01,28.02
2025-09-08,20.24
2025-09-15,25.43
2025-09-22,23.35
2025-09-29,30.62
2025-10-06,30.1
2025-10-13,24.91
2025-10-20,23.87
2025-10-27,35.81
2025-11-03,28.54
2025-11-10,29.06
2025-11-17,32.69
2025-11-24,32.69
2025-12-01,34.25
2025-12-08,36.33
2025-12-15,37.36
2025-12-22,51.9
2025-12-29,24.39
2026-01-05,24.91
2026-01-12,27.5
2026-01-19,34.77
2026-01-26,32.69
2026-02-02,33.21
2026-02-09,34.71
2026-02-16,36.84
2026-02-23,31.88
2026-03-02,45.34
2026-03-09,41.8
2026-03-16,34.71
2026-03-23,41.09
2026-03-30,70.85
2026-04-06,43.92
2026-04-13,42.51
2026-04-20,37.55
2026-04-27,33.3
2026-05-04,25.5
2026-05-11,19.84
