date,score,active
2024-09-16,54.64,1
2024-09-23,26.77,0
2024-09-30,22.4,0
2024-10-07,22.95,0
2024-10-14,26.77,0
2024-10-21,23.49,0
2024-10-28,24.59,0
2024-11-04,31.14,0
2024-11-11,39.88,0
2024-11-18,34.42,0
2024-11-25,24.04,0
2024-12-02,21.85,0
2024-12-09,22.4,0
2024-12-16,29.5,0
2024-12-23,21.31,0
2024-12-30,17.48,0
2025-01-06,16.94,0
2025-01-13,18.03,0
2025-01-20,28.41,0
2025-01-27,33.87,0
2025-02-03,23.36,0
2025-02-10,21.52,0
2025-02-17,43.05,0
2025-02-24,27.02,0
2025-03-03,27.48,0
2025-03-10,25.65,0
2025-03-17,42.13,0
2025-03-24,21.98,0
2025-03-31,26.56,0
2025-04-07,27.48,0
2025-04-14,31.14,0
2025-04-21,21.52,0
2025-04-28,20.15,0
2025-05-05,28.39,0
2025-05-12,22.44,0
2025-05-19,30.23,0
2025-05-26,29.77,0
2025-06-02,23.36,0
2025-06-09,17.4,0
2025-06-16,29.31,0
2025-06-23,15.57,0
2025-06-30,19.23,0
2025-07-07,18.32,0
2025-07-14,19.69,0
2025-07-21,36.18,0
2025-07-28,26.1,0
2025-08-04,45.8,0
2025-08-11,26.47,0
2025-08-18,37.88,0
2025-08-25,17.64,0
2025-09-01,28.02,0
2025-09-08,20.24,0
2025-09-15,25.43,0
2025-09-22,23.35,0
2025-09-29,30.62,0
2025-10-06,30.1,0
2025-10-13,24.91,0
2025-10-20,23.87,0
2025-10-27,35.81,0
2025-11-03,28.54,0
2025-11-10,29.06,0
2025-11-17,32.69,0
2025-11-24,32.69,0
2025-12-01,34.25,0
2025-12-08,36.33,0
2025-12-15,37.36,0
2025-12-22,51.9,1
2025-12-29,24.39,0
2026-01-05,24.91,0
2026-01-12,27.5,0
2026-01-19,34.77,0
2026-01-26,32.69,0
2026-02-02,33.21,0
2026-02-09,34.71,0
2026-02-16,36.84,0
2026-02-23,31.88,0
2026-03-02,45.34,0
2026-03-09,41.8,0
2026-03-16,34.71,0
2026-03-23,41.09,0
2026-03-30,70.85,1
2026-04-06,43.92,0
2026-04-13,42.51,0
2026-04-20,37.55,0
2026-04-27,33.3,0
2026-05-04,25.5,0
2026-05-11,19.84,0
