date,score,active
2024-09-16,3.42,0
2024-09-23,6.28,0
2024-09-30,6.56,0
2024-10-07,28.53,0
2024-10-14,7.13,0
2024-10-21,6.56,0
2024-10-28,11.7,0
2024-11-04,4.56,0
2024-11-11,11.7,0
2024-11-18,4.85,0
2024-11-25,3.71,0
2024-12-02,3.71,0
2024-12-09,4.85,0
2024-12-16,3.99,0
2024-12-23,3.42,0
2024-12-30,2.85,0
2025-01-06,2.57,0
2025-01-13,2.57,0
2025-01-20,5.14,0
2025-01-27,3.71,0
2025-02-03,4.56,0
2025-02-10,16.77,0
2025-02-17,2.99,0
2025-02-24,4.19,0
2025-03-03,4.19,0
2025-03-10,2.99,0
2025-03-17,2.4,0
2025-03-24,4.79,0
2025-03-31,3.59,0
2025-04-07,2.99,0
2025-04-14,2.99,0
2025-04-21,2.99,0
2025-04-28,2.99,0
2025-05-05,4.19,0
2025-05-12,3.59,0
2025-05-19,4.19,0
2025-05-26,5.39,0
2025-06-02,3.59,0
2025-06-09,3.59,0
2025-06-16,59.9,1
2025-06-23,38.33,0
2025-06-30,28.15,0
2025-07-07,4.19,0
2025-07-14,4.19,0
2025-07-21,6.59,0
2025-07-28,5.99,0
2025-08-04,8.39,0
2025-08-11,4.97,0
2025-08-18,3.64,0
2025-08-25,3.27,0
2025-09-01,3.39,0
2025-09-08,4.61,0
2025-09-15,6.55,0
2025-09-22,7.03,0
2025-09-29,5.45,0
2025-10-06,5.33,0
2025-10-13,12.12,0
2025-10-20,7.76,0
2025-10-27,3.88,0
2025-11-03,4.12,0
2025-11-10,4.61,0
2025-11-17,4.61,0
2025-11-24,4.36,0
2025-12-01,4.0,0
2025-12-08,4.12,0
2025-12-15,4.12,0
2025-12-22,4.24,0
2025-12-29,3.76,0
2026-01-05,4.24,0
2026-01-12,4.12,0
2026-01-19,4.61,0
2026-01-26,3.88,0
2026-02-02,4.73,0
2026-02-09,4.96,0
2026-02-16,4.73,0
2026-02-23,5.2,0
2026-03-02,23.63,1
2026-03-09,16.07,0
2026-03-16,12.52,0
2026-03-23,9.21,0
2026-03-30,11.1,0
2026-04-06,6.85,0
2026-04-13,9.92,0
2026-04-20,7.8,0
2026-04-27,4.73,0
2026-05-04,3.31,0
2026-05-11,3.31,0
