date,score,active
2021-07-05,1.31,0
2021-07-12,1.5,0
2021-07-19,1.73,0
2021-07-26,1.53,0
2021-08-02,1.37,0
2021-08-09,1.25,0
2021-08-16,1.21,0
2021-08-23,1.29,0
2021-08-30,1.38,0
2021-09-06,1.64,0
2021-09-13,1.72,0
2021-09-20,2.45,0
2021-09-27,2.24,0
2021-10-04,2.8,0
2021-10-11,2.76,0
2021-10-18,2.71,0
2021-10-25,2.97,0
2021-11-01,2.28,0
2021-11-08,2.41,0
2021-11-15,2.54,0
2021-11-22,2.45,0
2021-11-29,2.11,0
2021-12-06,2.8,0
2021-12-13,2.54,0
2021-12-20,2.45,0
2021-12-27,1.51,0
2022-01-03,1.29,0
2022-01-10,2.2,0
2022-01-17,2.37,0
2022-01-24,4.31,0
2022-01-31,3.06,0
2022-02-07,3.0,0
2022-02-14,4.0,0
2022-02-21,4.0,0
2022-02-28,5.0,0
2022-03-07,7.0,0
2022-03-14,9.0,0
2022-03-21,8.0,0
2022-03-28,6.0,0
2022-04-04,8.0,0
2022-04-11,14.0,1
2022-04-18,14.0,1
2022-04-25,8.0,0
2022-05-02,17.0,1
2022-05-09,15.0,1
2022-05-16,16.0,1
2022-05-23,24.0,1
2022-05-30,16.0,0
2022-06-06,21.0,1
2022-06-13,38.0,1
2022-06-20,54.0,1
2022-06-27,29.0,0
2022-07-04,17.0,0
2022-07-11,18.0,0
2022-07-18,19.0,0
2022-07-25,21.0,0
2022-08-01,100.0,1
2022-08-08,15.0,0
2022-08-15,8.0,0
2022-08-22,9.0,0
2022-08-29,8.0,0
2022-09-05,8.0,0
2022-09-12,6.0,0
2022-09-19,10.0,0
2022-09-26,13.0,0
2022-10-03,11.0,0
2022-10-10,10.0,0
2022-10-17,16.0,0
2022-10-24,18.0,0
2022-10-31,11.0,0
2022-11-07,12.0,0
2022-11-14,9.0,0
2022-11-21,11.0,0
2022-11-28,8.0,0
2022-12-05,9.0,0
2022-12-12,9.0,0
2022-12-19,8.0,0
2022-12-26,6.0,0
2023-01-02,5.0,0
2023-01-09,8.0,0
2023-01-16,7.0,0
2023-01-23,9.0,0
2023-01-30,9.0,0
2023-02-06,7.73,0
2023-02-13,6.12,0
2023-02-20,6.63,0
2023-02-27,5.72,0
