date,score,active
2020-01-06,4.59,0
2020-01-13,4.92,0
2020-01-20,4.75,0
2020-01-27,4.84,0
2020-02-03,4.84,0
2020-02-10,5.09,0
2020-02-17,6.92,0
2020-02-24,6.01,0
2020-03-02,6.59,0
2020-03-09,5.17,0
2020-03-16,5.42,0
2020-03-23,5.76,0
2020-03-30,6.59,0
2020-04-06,5.5,0
2020-04-13,5.92,0
2020-04-20,6.92,0
2020-04-27,6.34,0
2020-05-04,6.42,0
2020-05-11,6.26,0
2020-05-18,8.34,0
2020-05-25,8.17,0
2020-06-01,6.34,0
2020-06-08,5.59,0
2020-06-15,6.42,0
2020-06-22,5.76,0
2020-06-29,6.26,0
2020-07-06,5.76,0
2020-07-13,7.17,0
2020-07-20,6.26,0
2020-07-27,6.26,0
2020-08-03,6.92,0
2020-08-10,6.26,0
2020-08-17,7.69,0
2020-08-24,9.4,0
2020-08-31,9.11,0
2020-09-07,28.48,1
2020-09-14,15.38,0
2020-09-21,26.2,1
2020-09-28,11.68,0
2020-10-05,9.11,0
2020-10-12,8.26,0
2020-10-19,7.69,0
2020-10-26,6.55,0
2020-11-02,10.54,0
2020-11-09,6.83,0
2020-11-16,7.12,0
2020-11-23,8.83,0
2020-11-30,8.83,0
2020-12-07,9.97,0
2020-12-14,9.4,0
2020-12-21,7.4,0
2020-12-28,7.69,0
2021-01-04,7.12,0
2021-01-11,6.83,0
2021-01-18,8.83,0
2021-01-25,6.26,0
2021-02-01,6.55,0
2021-02-08,6.2,0
2021-02-15,7.27,0
2021-02-22,6.79,0
2021-03-01,10.49,0
2021-03-08,6.67,0
2021-03-15,6.55,0
2021-03-22,6.67,0
2021-03-29,5.96,0
2021-04-05,6.2,0
2021-04-12,7.98,0
2021-04-19,7.86,0
2021-04-26,5.72,0
2021-05-03,6.08,0
2021-05-10,5.24,0
2021-05-17,5.84,0
2021-05-24,7.27,0
2021-05-31,7.39,0
2021-06-07,9.41,0
2021-06-14,7.39,0
2021-06-21,7.27,0
2021-06-28,7.51,0
2021-07-05,7.27,0
2021-07-12,7.03,0
2021-07-19,7.75,0
2021-07-26,11.92,1
2021-08-02,6.67,0
2021-08-09,6.38,0
2021-08-16,6.25,0
2021-08-23,7.49,0
2021-08-30,7.63,0
2021-09-06,6.11,0
2021-09-13,5.55,0
2021-09-20,5.83,0
2021-09-27,6.25,0
2021-10-04,5.97,0
2021-10-11,6.25,0
2021-10-18,5.55,0
2021-10-25,5.69,0
2021-11-01,7.22,0
2021-11-08,11.24,1
2021-11-15,9.58,0
2021-11-22,12.49,1
2021-11-29,8.47,0
2021-12-06,8.88,0
2021-12-13,8.05,0
2021-12-20,7.91,0
2021-12-27,7.36,0
2022-01-03,8.47,0
2022-01-10,13.88,1
2022-01-17,10.69,0
2022-01-24,10.69,0
2022-01-31,10.13,0
2022-02-07,9.58,0
2022-02-14,10.83,0
2022-02-21,13.05,1
2022-02-28,13.46,1
2022-03-07,9.85,0
2022-03-14,9.3,0
2022-03-21,9.85,0
2022-03-28,10.55,0
2022-04-04,9.44,0
2022-04-11,8.88,0
2022-04-18,8.47,0
2022-04-25,8.6,0
2022-05-02,8.47,0
2022-05-09,8.19,0
2022-05-16,8.74,0
2022-05-23,8.47,0
2022-05-30,10.41,0
2022-06-06,7.91,0
2022-06-13,8.6,0
2022-06-20,9.71,0
2022-06-27,8.33,0
2022-07-04,8.33,0
2022-07-11,7.77,0
2022-07-18,10.69,0
2022-07-25,10.96,1
2022-08-01,9.99,0
2022-08-08,10.45,0
2022-08-15,9.91,0
2022-08-22,8.31,0
2022-08-29,8.84,0
2022-09-05,10.85,1
2022-09-12,6.83,0
2022-09-19,8.31,0
2022-09-26,13.4,1
