date,score,active
2022-08-01,39.0,0
2022-08-08,36.0,0
2022-08-15,38.0,0
2022-08-22,34.0,0
2022-08-29,39.0,0
2022-09-05,37.0,0
2022-09-12,41.0,0
2022-09-19,36.0,0
2022-09-26,38.0,0
2022-10-03,39.0,0
2022-10-10,41.0,0
2022-10-17,38.0,0
2022-10-24,35.0,0
2022-10-31,50.0,0
2022-11-07,42.0,0
2022-11-14,30.0,0
2022-11-21,30.0,0
2022-11-28,32.0,0
2022-12-05,28.0,0
2022-12-12,30.0,0
2022-12-19,31.0,0
2022-12-26,28.0,0
2023-01-02,39.0,0
2023-01-09,31.0,0
2023-01-16,30.0,0
2023-01-23,30.0,0
2023-01-30,57.0,1
2023-02-06,44.02,0
2023-02-13,32.01,0
2023-02-20,48.02,0
2023-02-27,37.73,0
2023-03-06,34.87,0
2023-03-13,33.16,0
2023-03-20,34.87,0
2023-03-27,36.59,0
2023-04-03,37.16,0
2023-04-10,36.59,0
2023-04-17,34.87,0
2023-04-24,36.59,0
2023-05-01,34.87,0
2023-05-08,33.73,0
2023-05-15,33.16,0
2023-05-22,33.73,0
2023-05-29,50.31,0
2023-06-05,53.74,0
2023-06-12,57.17,1
2023-06-19,36.02,0
2023-06-26,32.01,0
2023-07-03,36.02,0
2023-07-10,53.17,0
2023-07-17,35.44,0
2023-07-24,32.59,0
2023-07-31,34.3,0
2023-08-07,31.78,0
2023-08-14,33.37,0
2023-08-21,31.78,0
2023-08-28,32.84,0
2023-09-04,39.19,0
2023-09-11,29.13,0
2023-09-18,46.08,0
2023-09-25,26.48,0
2023-10-02,31.25,0
2023-10-09,26.48,0
2023-10-16,26.48,0
2023-10-23,25.42,0
2023-10-30,26.48,0
2023-11-06,27.01,0
2023-11-13,25.95,0
2023-11-20,25.95,0
2023-11-27,30.19,0
2023-12-04,30.19,0
2023-12-11,29.66,0
2023-12-18,28.6,0
2023-12-25,23.83,0
2024-01-01,23.3,0
2024-01-08,25.95,0
2024-01-15,23.3,0
2024-01-22,25.42,0
2024-01-29,25.95,0
2024-02-05,25.95,0
2024-02-12,24.51,0
2024-02-19,26.37,0
2024-02-26,29.34,0
2024-03-04,32.31,0
2024-03-11,29.71,0
2024-03-18,28.23,0
2024-03-25,27.86,0
2024-04-01,27.48,0
2024-04-08,28.23,0
2024-04-15,27.86,0
2024-04-22,28.23,0
2024-04-29,27.48,0
2024-05-06,28.97,0
2024-05-13,27.11,0
2024-05-20,35.28,0
2024-05-27,30.45,0
2024-06-03,28.6,0
2024-06-10,34.54,0
2024-06-17,37.14,0
2024-06-24,28.23,0
2024-07-01,27.86,0
2024-07-08,28.23,0
2024-07-15,24.51,0
2024-07-22,26.0,0
2024-07-29,25.26,0
2024-08-05,25.46,0
2024-08-12,26.07,0
2024-08-19,28.53,0
2024-08-26,30.37,0
2024-09-02,27.3,0
2024-09-09,26.99,0
2024-09-16,26.69,0
2024-09-23,26.99,0
2024-09-30,25.77,0
2024-10-07,29.45,0
2024-10-14,28.22,0
2024-10-21,30.06,0
2024-10-28,26.99,0
2024-11-04,25.15,0
2024-11-11,25.77,0
2024-11-18,25.15,0
2024-11-25,25.77,0
2024-12-02,25.15,0
2024-12-09,28.83,0
2024-12-16,23.31,0
2024-12-23,23.0,0
2024-12-30,27.91,0
2025-01-06,26.69,0
2025-01-13,27.61,0
2025-01-20,30.67,0
2025-01-27,26.69,0
2025-02-03,32.85,0
2025-02-10,27.62,0
2025-02-17,33.59,0
2025-02-24,31.35,0
2025-03-03,29.11,0
2025-03-10,30.61,0
2025-03-17,31.35,0
2025-03-24,26.87,0
2025-03-31,27.62,0
2025-04-07,38.07,0
2025-04-14,32.1,0
2025-04-21,26.87,0
2025-04-28,32.1,0
2025-05-05,33.59,0
2025-05-12,35.83,0
2025-05-19,27.62,0
2025-05-26,27.62,0
2025-06-02,26.13,0
2025-06-09,30.61,0
2025-06-16,29.11,0
2025-06-23,35.09,0
2025-06-30,38.07,0
2025-07-07,32.85,0
2025-07-14,44.79,0
2025-07-21,60.47,1
2025-07-28,52.26,0
2025-08-04,74.65,1
2025-08-11,47.55,0
2025-08-18,33.68,0
2025-08-25,34.67,0
2025-09-01,36.65,0
2025-09-08,34.67,0
2025-09-15,30.71,0
2025-09-22,35.66,0
2025-09-29,35.66,0
2025-10-06,33.68,0
2025-10-13,31.7,0
2025-10-20,28.73,0
2025-10-27,30.71,0
2025-11-03,41.61,0
2025-11-10,40.62,0
2025-11-17,43.59,0
2025-11-24,40.62,0
2025-12-01,63.4,1
2025-12-08,59.44,0
2025-12-15,66.37,1
2025-12-22,69.34,1
2025-12-29,74.3,1
2026-01-05,70.33,1
2026-01-12,64.39,1
2026-01-19,75.29,1
2026-01-26,76.28,1
2026-02-02,99.06,1
