date,score,active
2023-07-31,8.04,0
2023-08-07,9.71,0
2023-08-14,9.95,0
2023-08-21,15.87,1
2023-08-28,9.95,0
2023-09-04,10.9,0
2023-09-11,8.53,0
2023-09-18,8.77,0
2023-09-25,23.69,1
2023-10-02,14.93,0
2023-10-09,11.37,0
2023-10-16,8.53,0
2023-10-23,11.13,0
2023-10-30,13.74,0
2023-11-06,7.82,0
2023-11-13,8.53,0
2023-11-20,9.0,0
2023-11-27,10.9,0
2023-12-04,9.95,0
2023-12-11,20.14,1
2023-12-18,8.53,0
2023-12-25,21.8,1
2024-01-01,12.08,0
2024-01-08,10.42,0
2024-01-15,9.24,0
2024-01-22,11.13,0
2024-01-29,16.35,0
2024-02-05,8.29,0
2024-02-12,8.0,0
2024-02-19,18.0,0
2024-02-26,17.0,0
2024-03-04,9.0,0
2024-03-11,12.0,0
2024-03-18,9.0,0
2024-03-25,11.0,0
2024-04-01,100.0,1
2024-04-08,39.0,0
2024-04-15,15.0,0
2024-04-22,20.0,0
2024-04-29,13.0,0
2024-05-06,12.0,0
2024-05-13,14.0,0
2024-05-20,15.0,0
2024-05-27,8.0,0
2024-06-03,15.0,0
2024-06-10,14.0,0
2024-06-17,13.0,0
2024-06-24,12.0,0
2024-07-01,11.0,0
2024-07-08,16.0,0
2024-07-15,37.0,0
2024-07-22,24.0,0
2024-07-29,13.0,0
2024-08-05,17.0,0
2024-08-12,17.53,0
2024-08-19,56.53,0
2024-08-26,39.01,0
2024-09-02,24.31,0
2024-09-09,16.96,0
2024-09-16,22.61,0
2024-09-23,18.09,0
2024-09-30,18.66,0
2024-10-07,13.57,0
2024-10-14,16.96,0
2024-10-21,12.44,0
2024-10-28,12.44,0
2024-11-04,11.87,0
2024-11-11,9.05,0
2024-11-18,10.74,0
2024-11-25,11.31,0
2024-12-02,8.48,0
2024-12-09,10.74,0
2024-12-16,12.44,0
2024-12-23,10.74,0
2024-12-30,6.78,0
2025-01-06,6.78,0
2025-01-13,55.4,1
2025-01-20,10.74,0
2025-01-27,21.48,0
2025-02-03,12.58,0
2025-02-10,11.92,0
2025-02-17,9.27,0
2025-02-24,8.61,0
2025-03-03,9.93,0
2025-03-10,39.07,0
2025-03-17,12.58,0
2025-03-24,9.27,0
2025-03-31,11.26,0
2025-04-07,9.93,0
2025-04-14,10.6,0
2025-04-21,15.23,0
2025-04-28,9.93,0
2025-05-05,9.27,0
2025-05-12,8.61,0
2025-05-19,13.91,0
2025-05-26,7.95,0
2025-06-02,15.23,0
2025-06-09,13.24,0
2025-06-16,15.89,0
2025-06-23,66.22,1
2025-06-30,23.84,0
2025-07-07,13.24,0
2025-07-14,13.91,0
2025-07-21,14.57,0
2025-07-28,45.69,0
2025-08-04,21.19,0
2025-08-11,18.18,0
2025-08-18,52.27,0
2025-08-25,27.27,0
2025-09-01,56.81,1
2025-09-08,20.45,0
2025-09-15,13.63,0
2025-09-22,21.02,0
2025-09-29,21.02,0
2025-10-06,13.07,0
2025-10-13,20.45,0
2025-10-20,30.11,0
2025-10-27,12.5,0
2025-11-03,15.91,0
2025-11-10,16.47,0
2025-11-17,36.93,0
2025-11-24,19.88,0
2025-12-01,25.56,0
2025-12-08,39.2,0
2025-12-15,23.29,0
2025-12-22,23.86,0
2025-12-29,14.77,0
2026-01-05,15.91,0
2026-01-12,16.47,0
2026-01-19,17.61,0
2026-01-26,19.88,0
2026-02-02,17.61,0
